age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,capital-netGain,is-gain,is-loss
55,2,219775,8,9,0,8,4,4,0,0,0,38.0,38,0,0,0
31,5,41493,12,13,4,5,1,4,0,0,0,45.0,38,0,0,0
19,4,376683,9,10,4,8,4,2,0,2036,0,30.0,38,2036,1,0
25,4,113436,9,10,4,1,3,4,1,0,0,15.0,38,0,0,0
36,7,243666,8,9,0,1,3,2,0,0,0,40.0,38,0,0,0
69,4,128348,12,13,2,4,0,2,1,9386,0,50.0,38,9386,1,0
47,4,202812,13,14,2,10,0,4,1,0,0,40.0,0,0,0,0
41,6,186909,13,14,2,12,5,4,0,0,1902,35.0,38,-1902,0,1
36,1,47310,9,10,0,4,4,2,0,0,0,40.0,38,0,0,0
24,4,33016,9,10,4,3,3,4,1,0,0,40.0,38,0,0,0
74,0,292627,1,2,2,0,0,2,1,0,0,40.0,38,0,0,0
17,4,345403,5,6,4,8,3,4,1,0,0,40.0,38,0,0,0
21,4,538822,8,9,4,8,2,4,1,0,0,40.0,25,0,0,0
51,2,240358,8,9,2,11,0,4,1,0,0,40.0,38,0,0,0
58,4,186991,8,9,2,7,0,4,1,0,0,40.0,38,0,0,0
38,4,183279,9,10,2,3,0,4,1,0,0,43.0,38,0,0,0
48,4,300168,7,8,5,1,3,2,0,0,0,40.0,38,0,0,0
38,6,200153,8,9,2,3,0,4,1,0,0,60.0,38,0,0,0
23,4,237044,8,9,4,8,3,2,1,0,0,12.0,38,0,0,0
61,5,253101,9,10,6,12,1,4,0,0,0,20.0,38,0,0,0
38,4,617898,12,13,2,5,0,4,1,0,0,50.0,38,0,0,0
24,4,139989,12,13,4,12,3,2,1,0,0,40.0,38,0,0,0
44,2,33068,7,8,2,3,0,4,1,0,0,55.0,38,0,0,0
49,4,68505,4,5,0,8,1,2,1,0,0,37.0,38,0,0,0
62,4,186696,8,9,2,3,0,4,1,0,0,40.0,38,0,0,0
45,6,91044,13,14,0,10,1,4,0,0,0,15.0,38,0,0,0
49,4,66385,8,9,2,12,0,4,1,5013,0,40.0,38,5013,1,0
42,0,51795,8,9,0,0,4,2,0,0,0,32.0,38,0,0,0
26,4,134888,12,13,4,13,3,4,0,0,0,35.0,38,0,0,0
39,4,198097,12,13,0,4,1,4,1,0,0,50.0,38,0,0,0
36,4,180686,8,9,2,3,0,4,1,0,0,45.0,38,0,0,0
20,4,112847,8,9,4,5,3,1,1,0,0,40.0,38,0,0,0
33,4,200246,9,10,3,10,1,4,1,0,0,40.0,38,0,0,0
54,5,206964,9,10,2,12,0,4,1,0,1977,40.0,38,-1977,0,1
31,6,389765,3,4,2,10,0,4,1,0,0,60.0,38,0,0,0
26,4,133373,9,10,4,12,3,4,1,0,0,42.0,38,0,0,0
46,5,110457,13,14,2,4,0,4,1,0,0,55.0,38,0,0,0
49,6,173411,8,9,0,12,1,4,1,0,0,40.0,38,0,0,0
70,4,237065,2,3,6,8,2,4,0,2346,0,40.0,0,2346,1,0
20,4,275357,10,11,4,13,3,4,0,0,0,25.0,38,0,0,0
17,4,244589,6,7,4,12,3,4,0,0,0,40.0,38,0,0,0
44,4,230684,12,13,2,4,0,4,1,7688,0,50.0,38,7688,1,0
40,2,55363,8,9,2,14,0,4,1,0,0,40.0,38,0,0,0
38,4,63509,8,9,2,3,0,4,1,0,0,40.0,38,0,0,0
17,4,41979,5,6,4,5,3,4,1,0,0,40.0,38,0,0,0
28,4,248911,9,10,4,4,3,4,0,0,0,40.0,0,0,0,0
76,4,98695,9,10,0,1,1,4,0,0,0,20.0,38,0,0,0
37,2,218184,12,13,2,10,0,4,1,0,1887,40.0,38,-1887,0,1
31,4,120857,8,9,2,12,5,4,0,0,0,18.0,38,0,0,0
39,4,191103,8,9,4,8,1,4,1,0,0,40.0,38,0,0,0
46,1,207022,12,13,2,4,0,4,1,7688,0,40.0,38,7688,1,0
27,4,99897,9,10,2,13,0,4,1,0,0,40.0,38,0,0,0
56,5,75214,14,15,2,10,0,4,1,0,0,32.0,38,0,0,0
47,1,160646,10,11,2,1,5,4,0,0,0,35.0,38,0,0,0
22,0,139324,4,5,4,0,4,2,0,0,0,36.0,38,0,0,0
29,4,50295,9,10,2,4,0,4,1,0,0,48.0,38,0,0,0
