iter	Passed	Remaining
0	10	5478
1	13	3342	17	2910
3	21	2721
4	24	2455
5	27	2288
6	30	2148
7	33	2047
8	36	1972
9	38	1907
10	41	1850
11	44	1803
12	47	1771
13	50	1759
14	53	1729
15	56	1710
16	59	1688
17	62	1662
18	65	1655
19	68	1641
20	71	1624
21	74	1609
22	76	1594
23	80	1588
24	83	1582
25	86	1568
26	88	1554
27	92	1552
28	95	1552
29	98	1548
30	101	1541
31	105	1536
32	107	1524
33	112	1547
34	115	1537
35	118	1528
36	121	1520
37	124	1511
38	128	1517
39	130	1505
40	134	1506
41	137	1497
42	142	1511
43	145	1503
44	148	1497
45	151	1494
46	154	1489
47	157	1484
48	160	1479
49	164	1476
50	167	1476
51	171	1478
52	174	1471
53	177	1466
54	180	1461
55	184	1459
56	187	1454
57	190	1449
58	193	1443
59	196	1437
60	199	1437
61	203	1438
62	206	1432
63	209	1425
64	212	1420
65	216	1420
66	219	1415
67	221	1408
68	224	1403
69	227	1398
70	230	1395
71	234	1391
72	236	1385
73	239	1380
74	242	1374
75	247	1378
76	249	1372
77	252	1366
78	255	1359
79	258	1357
80	262	1360
81	266	1355
82	268	1349
83	271	1342
84	275	1343
85	277	1338
86	280	1332
87	283	1328
88	286	1323
89	290	1324
90	293	1320
91	296	1316
92	299	1312
93	302	1306
94	305	1303
95	309	1300
96	312	1296
97	314	1291
98	317	1286
99	321	1284
100	324	1281
101	327	1277
102	330	1273
103	333	1268
104	336	1266
105	339	1263
106	343	1259
107	345	1255
108	349	1252
109	351	1247
110	354	1243
111	357	1239
112	360	1235
113	363	1231
114	366	1227
115	369	1223
116	372	1219
117	375	1214
118	378	1210
119	381	1208
120	384	1205
121	387	1201
122	390	1196
123	394	1196
124	397	1193
125	400	1189
126	404	1187
127	408	1187
128	416	1197
129	419	1193
130	422	1189
131	425	1186
132	428	1181
133	431	1177
134	434	1175
135	437	1171
136	441	1169
137	444	1167
138	447	1163
139	453	1165
140	457	1163
141	460	1160
142	463	1157
143	466	1153
144	469	1150
145	474	1149
146	477	1146
147	480	1141
148	483	1138
149	488	1139
150	491	1135
151	494	1131
152	497	1127
153	500	1123
154	504	1121
155	506	1117
156	509	1113
157	512	1109
158	516	1106
159	519	1104
160	522	1100
